	neuroNER_ID	neuroNER_Name
382	ABA_REGION:258	Lateral septal nucleus, rostral (rostroventral) part
383	ABA_REGION:259	Entorhinal area, medial part, ventral zone, layer 1
384	ABA_REGION:26	Superior colliculus, motor related, deep gray layer
385	ABA_REGION:260	Nucleus of the lateral olfactory tract, molecular layer
386	ABA_REGION:261	spino-olivary pathway
387	ABA_REGION:262	Reticular nucleus of the thalamus
388	ABA_REGION:263	Anteroventral preoptic nucleus
389	ABA_REGION:264	Orbital area, layer 1
390	ABA_REGION:266	Lateral septal nucleus, ventral part
391	ABA_REGION:267	Dorsal peduncular area, layer 6a
392	ABA_REGION:268	Nucleus of the lateral olfactory tract, pyramidal layer
393	ABA_REGION:269	Posterolateral visual area, layer 2/3
394	ABA_REGION:27	Intergeniculate leaflet of the lateral geniculate complex
395	ABA_REGION:270	spinoreticular pathway
396	ABA_REGION:271	Nucleus sagulum
397	ABA_REGION:272	Anteroventral periventricular nucleus
398	ABA_REGION:274	Retrosplenial area, dorsal part, layer 6a
399	ABA_REGION:275	Lateral septal complex
400	ABA_REGION:276	Piriform area, molecular layer
401	ABA_REGION:277	spinotectal pathway
402	ABA_REGION:278	Striatum-like amygdalar nuclei
403	ABA_REGION:279	Retrosplenial area, lateral agranular part, layer 6b
404	ABA_REGION:28	Entorhinal area, lateral part, layer 6a
405	ABA_REGION:280	Barrington's nucleus
406	ABA_REGION:281	Anteromedial visual area, layer 1
407	ABA_REGION:283	Lateral tegmental nucleus
408	ABA_REGION:284	Piriform area, pyramidal layer
409	ABA_REGION:285	spinotelenchephalic pathway
410	ABA_REGION:286	Suprachiasmatic nucleus
411	ABA_REGION:287	Bed nucleus of the anterior commissure
412	ABA_REGION:288	Orbital area, ventrolateral part, layer 2/3
413	ABA_REGION:289	Temporal association areas, layer 5
414	ABA_REGION:29	lateral spinothalamic tract
415	ABA_REGION:290	Hypothalamic lateral zone
416	ABA_REGION:291	Piriform area, polymorph layer
417	ABA_REGION:292	Bed nucleus of the accessory olfactory tract
418	ABA_REGION:293	spinovestibular pathway
419	ABA_REGION:294	Superior colliculus, motor related
420	ABA_REGION:295	Basolateral amygdalar nucleus
421	ABA_REGION:296	Anterior cingulate area, ventral part, layer 2/3
422	ABA_REGION:297	Taenia tecta, dorsal part, layers 1-4
423	ABA_REGION:298	Magnocellular nucleus
424	ABA_REGION:299	Somatomotor areas, Layer 5
425	ABA_REGION:3	secondary fissure
426	ABA_REGION:30	Periventricular hypothalamic nucleus, anterior part
427	ABA_REGION:300	Ventral part of the lateral geniculate complex, lateral zone
428	ABA_REGION:301	stria terminalis
429	ABA_REGION:302	Superior colliculus, sensory related
430	ABA_REGION:303	Basolateral amygdalar nucleus, anterior part
431	ABA_REGION:304	Prelimbic area, layer 2/3
432	ABA_REGION:305	Primary visual area, layer 6b
433	ABA_REGION:306	Taenia tecta, ventral part, layers 1-3
434	ABA_REGION:307	Magnocellular reticular nucleus
435	ABA_REGION:308	Posterior parietal association areas, layer 6a
436	ABA_REGION:309	striatonigral pathway
437	ABA_REGION:31	Anterior cingulate area
438	ABA_REGION:310	Septofimbrial nucleus
439	ABA_REGION:311	Basolateral amygdalar nucleus, posterior part
440	ABA_REGION:312	Entorhinal area, lateral part, layer 4/5
441	ABA_REGION:313	Midbrain
442	ABA_REGION:314	Agranular insular area, posterior part, layer 6a
443	ABA_REGION:315	Isocortex
444	ABA_REGION:316	Ventral part of the lateral geniculate complex, medial zone
445	ABA_REGION:317	subthalamic fascicle
446	ABA_REGION:318	Supragenual nucleus
447	ABA_REGION:319	Basomedial amygdalar nucleus
448	ABA_REGION:320	Primary motor area, Layer 1
449	ABA_REGION:321	Subgeniculate nucleus
450	ABA_REGION:322	Primary somatosensory area
451	ABA_REGION:323	Midbrain, motor related
452	ABA_REGION:324	Entorhinal area, medial part, ventral zone, layer 2
453	ABA_REGION:325	Suprageniculate nucleus
454	ABA_REGION:326	superior cerebelar peduncles
455	ABA_REGION:327	Basomedial amygdalar nucleus, anterior part
456	ABA_REGION:328	Agranular insular area, dorsal part, layer 2/3
457	ABA_REGION:329	Primary somatosensory area, barrel field
458	ABA_REGION:33	Primary visual area, layer 6a
459	ABA_REGION:330	Retrosplenial area, dorsal part, layer 6b
460	ABA_REGION:331	Mammillary body
461	ABA_REGION:332	Accessory supraoptic group
462	ABA_REGION:333	Septohippocampal nucleus
463	ABA_REGION:334	Basomedial amygdalar nucleus, posterior part
464	ABA_REGION:335	Perirhinal area, layer 6a
465	ABA_REGION:336	superior colliculus commissure
466	ABA_REGION:337	Primary somatosensory area, lower limb
467	ABA_REGION:338	Subfornical organ
468	ABA_REGION:339	Midbrain, sensory related
469	ABA_REGION:34	intercrural fissure
470	ABA_REGION:340	Posterior parietal association areas, layer 6b
471	ABA_REGION:341	supramammillary decussation
472	ABA_REGION:342	Substantia innominata
473	ABA_REGION:343	Brain stem
474	ABA_REGION:344	Agranular insular area, posterior part, layer 5
475	ABA_REGION:345	Primary somatosensory area, mouth
476	ABA_REGION:346	Primary somatosensory area, layer 2/3
477	ABA_REGION:347	Subparaventricular zone
478	ABA_REGION:348	Midbrain, behavioral state related
479	ABA_REGION:349	supraoptic commissures
480	ABA_REGION:35	Oculomotor nucleus
481	ABA_REGION:350	Subceruleus nucleus
482	ABA_REGION:351	Bed nuclei of the stria terminalis
483	ABA_REGION:352	Orbital area, layer 5
484	ABA_REGION:353	Primary somatosensory area, nose
485	ABA_REGION:354	Medulla
486	ABA_REGION:355	Agranular insular area, posterior part, layer 6b
487	ABA_REGION:356	Preparasubthalamic nucleus
488	ABA_REGION:357	tectothalamic pathway
489	ABA_REGION:358	Sublaterodorsal nucleus
490	ABA_REGION:359	Bed nuclei of the stria terminalis, anterior division
491	ABA_REGION:36	Gustatory areas, layer 1
492	ABA_REGION:360	Dorsal peduncular area, layer 2/3
493	ABA_REGION:361	Primary somatosensory area, trunk
494	ABA_REGION:362	Mediodorsal nucleus of thalamus
495	ABA_REGION:363	Prelimbic area, layer 5
496	ABA_REGION:364	Parasubthalamic nucleus
497	ABA_REGION:365	thalamic peduncles
498	ABA_REGION:366	Submedial nucleus of the thalamus
499	ABA_REGION:367	Bed nuclei of the stria terminalis, posterior division
500	ABA_REGION:368	Perirhinal area, layer 6b
501	ABA_REGION:369	Primary somatosensory area, upper limb
502	ABA_REGION:37	longitudinal association bundle
503	ABA_REGION:370	Medulla, motor related
504	ABA_REGION:371	Entorhinal area, medial part, ventral zone, layer 3
505	ABA_REGION:372	Infracerebellar nucleus
506	ABA_REGION:373	trigeminocerebellar tract
507	ABA_REGION:374	Substantia nigra, compact part
508	ABA_REGION:375	Ammon's horn
509	ABA_REGION:376	Cortical amygdalar area, posterior part, lateral zone, layers 1-3
510	ABA_REGION:377	Posterolateral visual area, layer 6a
511	ABA_REGION:378	Supplemental somatosensory area
512	ABA_REGION:379	Medulla, behavioral state related
513	ABA_REGION:38	Paraventricular hypothalamic nucleus
514	ABA_REGION:380	cuneate fascicle
515	ABA_REGION:381	Substantia nigra, reticular part
516	ABA_REGION:382	Field CA1
517	ABA_REGION:383	Cortical amygdalar area, posterior part, medial zone, layers 1-3
518	ABA_REGION:384	trochlear nerve decussation
519	ABA_REGION:385	Primary visual area
520	ABA_REGION:386	Medulla, sensory related
521	ABA_REGION:387	Entorhinal area, lateral part, layer 5/6
522	ABA_REGION:388	gracile fascicle
523	ABA_REGION:389	ventral spinothalamic tract
524	ABA_REGION:39	Anterior cingulate area, dorsal part
